"EQ66 - Others treated as less than due to their sexual orientation","IQ68 - Anxiety attacks triggered by religious stimuli","IQ69 - Lack of spiritual direction/purpose","IQ70 - Feeling betrayed by God","IQ71 - Avoiding religious activities/settings to reduce distressing feelings","IQ72 - Feeling as if God harmed me directly","IQ73 - Self-hatred or self-loathing","IQ74 - Sadness over the loss of my faith/religious community","IQ76 - Feeling I wasted years of my life in a church/set of beliefs","IQ77 - Anger upon reflecting on negative religious experiences","IQ78 - A lack of self-worth","IQ79 - Distrust of God","IQ80 - Feeling isolated","IQ81 - Nightmares about my negative religious experiences","IQ82 - Having trouble navigating life outside my church/community"
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,0,1,0,1,1,1,1,1,0,1,0,1
1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
0,1,1,0,1,0,1,1,1,1,1,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,1,1,1,0,0,1,1,0
1,0,1,0,1,0,1,1,1,1,0,0,1,0,0
1,1,1,1,1,0,0,1,1,1,1,0,1,0,1
1,1,0,0,0,0,0,1,1,1,1,0,1,0,0
0,0,1,0,1,0,1,1,0,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,0,1,0,1,1,1,0
1,0,0,1,0,1,1,1,0,1,0,0,1,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,1,1,1,0,0,0,0,0
1,0,1,0,1,1,1,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,1,1,1,0,1,0,0
1,0,1,1,1,0,1,1,1,1,1,1,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
0,0,1,0,1,0,0,0,1,1,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,0,0,1,1,0,0,0
1,0,1,1,1,1,0,1,1,1,1,1,1,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,1,0,0,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,0,0,1,1,1,1,0,1
0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
0,0,1,1,1,1,1,1,1,1,1,0,1,0,1
0,0,1,0,1,0,0,1,0,1,1,0,0,0,1
1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,1,0,1,1,0,1,1,0,1,0,0
1,0,1,1,1,0,0,1,1,1,1,1,1,0,1
1,0,1,0,1,0,0,1,1,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,1,1,1,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,1,0,1,1,1,1,1,1,1,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,1,0,1,0,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,0,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,1,1,1,0,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,1,1,0,0,1,0,0,1,1,1,1,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1,0,1,1,1,0,1
1,1,1,0,1,0,1,0,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,1,1,1,0,1,1,1,1,1,1,1,0,0
1,1,1,1,0,0,1,1,0,1,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,0,1,0,1,0,0,1,0,0
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,1,0,1,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,1,0,1,1,1,1,1
1,0,1,0,1,1,1,0,0,1,1,1,1,0,1
1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
1,1,1,0,1,0,1,1,1,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,1,0,1,0,1,1,1,0,0,0,1,0,1
1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,1,0,0,1,1,1,1,0,1,0,1
1,0,1,0,1,0,1,1,1,1,1,0,1,0,0
1,0,1,0,0,0,0,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,0,1,1,1,1,1,1,1,0,0
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1
1,1,1,1,1,0,1,1,0,1,1,0,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1,0,1,1,1,1,0,1,0,1,1,1,1,0,1
1,0,1,1,0,0,1,0,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0,1,0,1,1,1
1,0,1,1,1,1,0,0,1,1,0,1,1,0,0
1,0,1,0,0,0,0,1,0,1,1,0,1,0,0
1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,0,1,1,0,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,1,1,0,1,0,0,1,1,1,1,0,1,0,1
1,0,1,1,1,0,1,1,0,1,0,1,1,0,1
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1,1,0,0,1,0,1,1,0,1,1,0,1,1,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,0
1,0,1,0,1,1,0,1,1,1,1,1,1,0,1
0,1,1,0,1,0,1,1,1,1,1,0,1,1,1
1,0,0,0,1,0,0,1,1,1,0,0,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
1,0,1,0,1,0,1,0,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
0,1,1,1,1,0,0,1,1,1,0,0,1,1,0
1,0,1,1,1,0,0,1,1,1,1,1,1,0,0
0,1,1,1,1,0,1,0,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,0,1,1,1,0,0,1,1,1,1,0,1,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,0,1,0,1,0,0,1,1,1,0,0,1,0,1
1,0,1,0,1,0,0,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,1,0,1,0,0,1,1,1,1,1,1,0,0
1,0,1,1,1,0,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1,0,1,1,1,1,0,0,0,1,1,1,0,0,0
0,0,1,1,1,0,1,1,1,1,1,0,1,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1,0,1,0,1,0,0,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,1,1,0,1,0,1,1,0,1,1,0,1,0,0
1,0,1,1,1,0,1,1,0,1,1,1,1,1,1
1,1,1,0,1,0,1,0,0,1,1,1,1,1,1
0,0,1,1,0,1,1,1,1,1,1,1,1,0,1
1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
1,0,1,1,1,0,0,1,1,1,1,1,1,0,0
1,0,1,0,1,0,0,1,1,1,1,1,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,1,0,1,1,1,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,0,1,0,0,0,0,0,1,0,0,1,1,0,1
1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1,1,1,0,1,0,1,1,0,1,1,0,1,1,1
1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
1,1,1,0,1,0,0,0,1,1,1,0,1,0,0
0,0,1,0,1,0,1,0,0,0,1,0,1,0,1
1,1,1,1,1,0,0,1,0,1,0,1,0,0,1
1,0,1,1,1,0,0,0,0,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
1,0,1,0,0,1,1,0,0,0,1,0,1,0,0
1,1,1,0,1,0,1,0,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
1,1,1,0,1,0,0,1,0,1,0,0,1,0,0
1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
0,0,1,0,0,0,1,0,0,1,1,1,1,0,1
0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
1,1,1,1,0,1,1,0,0,1,1,0,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,0,1,1,1,0,1,1,1,1
1,0,1,0,0,0,1,1,0,1,0,0,1,0,0
1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,1,1,1,1,1,1,0,1
1,0,1,1,1,0,1,1,0,1,1,1,1,0,0
0,0,1,1,0,1,1,0,0,1,1,0,1,0,0
1,0,0,0,1,0,0,1,1,1,0,0,1,1,1
1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,1,0,0,1,1,1,0,0,1,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,1,1,1,0,0,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,1,0,1,1,0,1
1,0,1,1,1,0,0,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,1,0,0,1,1,1,0,0,1,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,1,1,1,0,1,1,0,0
1,0,0,1,1,0,1,0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,1,1,1,1,0,1,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,0,1,0,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
1,0,1,1,1,0,0,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,0,1,1,1,1,1,1,0,1
0,0,1,1,1,0,0,0,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
1,1,0,0,1,1,1,0,1,1,1,1,1,0,1
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
1,0,0,0,1,0,1,0,1,1,1,0,1,1,0
0,0,1,0,1,0,0,0,0,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1,1,1,1,1,0,1,1,1,1,0,1,0,0,1
1,0,1,1,0,0,0,0,1,1,0,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,0,0,1,1,1,0,1,1,1,1,0,0
1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,0,1,0,0,1,0,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
1,0,0,0,1,0,0,0,0,1,0,0,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,0,1,0,0,1,1,1,0,0,1,1,1
1,0,1,1,1,0,0,1,1,1,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,1,1,1,1,1,1,0,1
1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,0,1,1,0,1,1,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,0,1,0,1,0,0,1,0,1,0,0,1,1,1
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
1,0,1,0,1,0,1,1,1,0,0,1,0,0,0
1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,0,0,0,1,1,1,0,0
1,1,1,0,1,0,1,1,1,1,1,0,1,0,1
1,1,1,0,0,0,1,1,1,1,0,0,1,1,1
1,0,0,1,1,0,0,1,0,0,1,1,1,0,0
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,0,1,1,1,1,0,0
1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
1,0,1,0,0,0,1,0,0,1,1,0,1,1,0
1,0,1,0,1,0,1,0,1,0,1,1,1,0,0
1,0,1,1,1,0,1,0,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
1,0,1,0,0,0,1,1,0,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,0,0,1,1,0,1,1,1,0,0
0,0,1,1,1,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
1,0,1,1,0,0,1,1,0,1,1,1,1,0,1
1,0,1,0,1,0,1,1,1,1,1,0,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,1,0,0,1,1,1,0,0,1
1,1,1,0,1,1,1,1,0,1,1,0,1,0,1
1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,1,1,1,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,1,0,1,1,0,1,1,1
1,0,0,1,0,0,1,1,0,0,0,0,1,0,1
0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1,0,1,0,1,0,0,1,1,0,1,0,1,0,0
1,1,0,0,1,0,1,1,0,0,1,0,1,0,0
1,1,1,1,1,0,1,1,1,1,0,1,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,1,0,1,0,1,1,1,0,1,1,1
1,1,1,0,1,0,0,0,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,0,1,1,1,1,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,1,1,1,1,0,1,0,0
1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,0,0,1,0,0,0,1,1,1,1,0
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1,0,1,0,1,1,1,1
1,1,1,1,1,0,0,1,1,1,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,1,1,1,0,1,1,0,1
1,0,1,0,0,1,0,1,1,1,1,1,1,0,0
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
